module_id	nb_families	nb_organisms	partition	mean_number_of_occurrence
module_75	3	2	cloud	1.0
module_82	4	2	cloud	1.0
module_108	4	2	cloud	1.0
module_11	3	2	cloud	1.0
module_72	3	2	cloud	1.0
module_7	8	3	cloud	1.0
module_65	4	3	cloud	1.0
module_107	4	2	cloud	1.0
module_62	8	2	cloud	1.0
module_8	4	5	shell	1.0
module_81	3	2	cloud	1.0
module_63	3	2	cloud	1.0
module_110	4	2	cloud	1.125
module_1	3	5	shell	1.0
module_14	3	2	cloud	1.0
module_77	3	2	cloud	1.167
module_80	5	2	cloud	1.0
module_106	4	2	cloud	2.0
module_61	7	5	shell	1.4
module_9	4	8	shell	0.938
module_79	14	2	cloud	1.0
module_60	3	2	cloud	1.333
module_105	11	2	cloud	1.0
module_78	8	2	cloud	1.0
module_84	5	2	cloud	1.0
module_0	3	9	persistent	2.037
module_12	8	2	cloud	1.0
module_66	4	2	cloud	1.0
module_59	3	2	cloud	1.0
module_64	3	2	cloud	1.667
module_104	3	2	cloud	1.0
module_6	12	2	cloud	1.0
module_88	3	2	cloud	1.0
module_51	5	2	cloud	1.8
module_13	3	4	cloud	1.0
module_2	13	8	shell	0.894
module_100	4	2	cloud	1.0
module_57	3	3	cloud	1.0
module_103	3	2	cloud	1.0
module_58	3	3	cloud	1.0
module_99	8	3	cloud	1.0
module_98	4	2	cloud	1.0
module_96	4	2	cloud	1.0
module_54	4	3	cloud	1.0
module_5	6	2	cloud	1.0
module_102	23	2	cloud	1.022
module_86	13	2	cloud	1.0
module_55	3	3	cloud	1.0
module_87	5	2	cloud	1.0
module_56	10	3	cloud	1.0
module_101	10	3	cloud	1.0
module_95	3	3	cloud	1.0
module_21	9	7	shell	0.984
module_53	3	3	cloud	1.444
module_4	4	7	shell	0.964
module_3	3	4	cloud	1.167
module_85	9	2	cloud	1.0
module_38	3	3	cloud	1.0
module_52	7	5	shell	1.0
module_20	3	10	persistent	1.4
module_67	3	2	cloud	1.0
module_18	4	3	cloud	1.0
module_71	3	3	cloud	1.0
module_31	5	2	cloud	1.0
module_97	9	2	cloud	1.0
module_22	15	2	cloud	1.0
module_48	3	2	cloud	1.0
module_41	4	2	cloud	1.0
module_91	4	2	cloud	1.0
module_24	4	3	cloud	1.083
module_90	4	2	cloud	1.5
module_111	3	2	cloud	1.0
module_33	3	4	cloud	1.417
module_50	3	3	cloud	1.0
module_39	6	3	cloud	1.0
module_92	17	2	cloud	1.0
module_30	4	8	persistent	1.438
module_46	7	5	shell	1.0
module_32	7	2	cloud	1.0
module_73	3	2	cloud	1.0
module_16	5	3	cloud	1.0
module_69	9	2	cloud	1.0
module_40	3	3	cloud	1.0
module_49	4	2	cloud	1.25
module_26	3	4	cloud	1.0
module_74	6	2	cloud	1.0
module_25	3	4	cloud	1.083
module_44	7	2	cloud	1.0
module_36	6	2	cloud	1.0
module_83	7	2	cloud	1.0
module_17	3	2	cloud	1.0
module_93	3	2	cloud	1.0
module_15	5	3	cloud	1.0
module_37	28	3	cloud	1.0
module_47	5	2	cloud	1.0
module_29	4	3	cloud	1.0
module_70	3	2	cloud	1.0
module_23	13	6	shell	1.064
module_43	5	5	shell	1.0
module_34	4	3	cloud	1.333
module_94	5	2	cloud	1.0
module_89	4	2	cloud	1.0
module_76	5	3	cloud	1.0
module_10	3	7	shell	1.0
module_19	3	2	cloud	1.0
module_45	3	5	shell	1.0
module_109	3	2	cloud	1.0
module_35	5	2	cloud	1.0
module_68	4	4	cloud	1.0
module_28	4	2	cloud	1.0
module_42	4	2	cloud	1.0
module_27	9	3	cloud	1.037
